HTSUS,Articles of Civil Aircraft only,Description,Descrição
0801.21.00,,"Brazil nuts in shell, fresh or dried","Brasil Nuts em concha, fresco ou seco"
2008.30.35,,Orange pulp,Polpa laranja
2009.11.00,,"Orange juice, frozen","Suco de laranja, congelado"
2009.12.25,,"Orange juice, not frozen, Brix value <20, not concentrated","Suco de laranja, não congelado, valor Brix <20, não concentrado"
2009.12.45,,"Orange juice, not frozen, Brix value <20, other","Suco de laranja, não congelado, valor de Brix <20, outro"
2525.10.00,,Crude mica,Mica bruta
2601.11.00,,"Iron ore, non-agglomerated","Minério de ferro, não aglomerado"
2601.12.00,,"Iron ore, agglomerated","Minério de ferro, aglomerado"
2609.00.00,,Tin ores and concentrates,Minérios de lata e concentrados
2701.11.00,,"Coal, anthracite, whether or not pulverized, but not agglomerated","Carvão, antracito, pulverizado ou não, mas não aglomerado"
2701.12.00,,"Coal, bituminous, whether or not pulverized, but not agglomerated","Carvão, betuminoso, pulverizado ou não, mas não aglomerado"
2701.19.00,,"Coal, other than anthracite or bituminous, whether or not pulverized, but not agglomerated","Carvão, exceto antracito ou betuminoso, pulverizado ou não, mas não aglomerado"
2701.20.00,,"Coal, briquettes, ovoids and similar solid fuels manufactured from coal","Carvão, briquetes, ovóides e combustíveis sólidos semelhantes fabricados a partir de carvão"
2702.10.00,,"Lignite (excluding jet), whether or not pulverized, but not agglomerated","Lignite (excluindo jato), pulverizado ou não, mas não aglomerado"
2702.20.00,,"Lignite (excluding jet), agglomerated","Lignite (excluindo jato), aglomerado"
2703.00.00,,"Peat (including peat litter), whether or not agglomerated","Turfa (incluindo ninhada de turfa), seja ou não aglomerada"
2704.00.00,,"Coke and semicoke of coal, lignite or peat, whether or not agglomerated; retort carbon","Coca -Cola e Semicoke de Carvão, Linhita ou Peat, seja ou não aglomerado; Retort carbono"
2705.00.00,,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","Gás de carvão, gás aquático, gás produtor e gases semelhantes, exceto gases de petróleo e outros hidrocarbonetos gasosos"
2706.00.00,,"Tars (including reconstituted tars), distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled","Alcatrão (incluindo alcatrões reconstituídos), destilados de carvão, linhita ou turfa e outros alcatrões minerais, desidratados ou parcialmente destilados"
2707.10.00,,"Benzene, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Benzeno, a partir da destilação de alcatrão de carvão de alta temperatura, ou no qual o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
2707.20.00,,"Toluene, from the distillation of high-temperature coal tar, or in which the weight of aromatic constituents exceeds that of the nonaromatic constituents","Tolueno, a partir da destilação de alcatrão de carvão de alta temperatura, ou no qual o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
2707.30.00,,"Xylenes, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Xilenos, da destilação de alcatrão de carvão de alta temperatura, ou no qual o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
2707.40.00,,"Naphthalene, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Naftaleno, a partir da destilação de alcatrão de carvão de alta temperatura, ou no qual o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
